pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,sjr_quartile
2-s2.0-85119838174,2021,2021 Jan,AUTONOMOUS CORPORATE PERSONHOOD,,Washington Law Review,,Article,Reyes C.L.,"Indiana University Bloomington, Bloomington, United States",,2-s2.0-85119838174,11,Q3,Q3
2-s2.0-85109844928,2021,2021 Jan,Meeting the chimera: How the cedaw can address digital discrimination,,International Human Rights Law Review,,Review,Krupiy T.,"Tilburg Law School, Tilburg, Netherlands",10.1163/22131035-01001006,2-s2.0-85109844928,3,Q3,Q3
2-s2.0-85099380316,2021,2021 Jan,Automated vehicles and liability for defective products,,Revista De Derecho Civil,,Article,Navarro-Michel M.,"Universitat de Barcelona, Barcelona, Spain",,2-s2.0-85099380316,2,Q3,Q3
2-s2.0-85120558110,2021,2021 Jan,AI crimes and misdemeanors: Debating the boundaries of criminal liability and imputation,,Revue Internationale De Droit Penal,,Article,Moraiti A.,"University of Luxembourg, Esch-sur-Alzette, Luxembourg",,2-s2.0-85120558110,2,Q3,Q3
2-s2.0-85100791538,2021,2021 Jan,The tax concepts of permanent establishment and connection points in relation to the advent of the Internet of Things,,Revista De Internet Derecho Y Politica,,Article,Belda I.,"Universitat Oberta de Catalunya, Barcelona, Spain",10.7238/IDP.V0I32.3209,2-s2.0-85100791538,2,Q3,Q3
2-s2.0-85153185649,2021,2021 Jan,Making robo-advisers careful? Duties of care in providing automated financial advice to consumers,,Law and Financial Markets Review,,Article,Paterson J.M.,"Melbourne Law School, Melbourne, Australia",10.1080/17521440.2023.2196027,2-s2.0-85153185649,5,Q3,Q3
2-s2.0-85115741252,2021,2021 Jan,Normative Dimensions Of Consensual Application Of Black Box Artificial Intelligence In Administrative Adjudication Of Benefits Claims,,Law and Contemporary Problems,,Article,Pasquale F.,"Seton Hall University, South Orange, United States",,2-s2.0-85115741252,1,Q3,Q3
2-s2.0-85142503606,2021,2021 Jan,"The Past, Present, and Future of Online Dispute Resolution",,Current Legal Problems,,Article,Rabinovich-Einy O.,"University of Haifa, Haifa, Israel",10.1093/clp/cuab004,2-s2.0-85142503606,13,Q3,Q3
2-s2.0-85120538116,2021,2021 Jan,Augmented reality in law enforcement from an EU data protection law perspective: The darlene project as a case study,,Revue Internationale De Droit Penal,,Article,Quezada-Tavárez K.,"KU Leuven, Leuven, Belgium",,2-s2.0-85120538116,0,Q3,Q3
2-s2.0-85103589269,2021,2021 Jan,Online dispute resolution methods: state-of-the-art of its application and challenges,,Revista Direito Gv,,Article,Moulin C.S.A.,"Universidade de São Paulo, Sao Paulo, Brazil",10.1590/2317-6172202108,2-s2.0-85103589269,0,Q3,Q3
